Name,Description
Operation Planspiel III,1940,German breakthrough of the Maginot Line between Teting und Wittring, France
Planstudie 39,1939,German air force research
Operation Platinfuchs,1941,German attack towards Murmansk, Russia from Finnish Petsamo, part of Operation Silberfuchs
Operation Polarfuchs,1941,German attack towards Kandalaksha, Russia from Finnish Lapland, part of Operation Silberfuchs
Operation Polarnacht,1942,German deployment of battleship Tirpitz from Wilhelmshaven, Germany to Trondheim, Norway
Operation Poseidon,1943,German operation against British troops on the Greek island of Samos; part of Operation Zwischenspiel
Operation Prijedor,1942,Axis anti-partisan operation in the Independent State of Croatia
Provincia di Lubiana,1942,Axis anti-partisan operation in the Independent State of Croatia
Operation Prüfstand XII,1944,German program to develop submarine launched V-2 rockets
Operation Puma,1943,German anti-partisan operation in Greece
Operation R,1942,Japanese invasion of Rabaul, New Britain and Kavieng, New Ireland
Operation Rabat,1943,German plan to kidnap the Pope from the Vatican City
Operation Ratweek,1944,German ground and air attack on partisans on the Balkan peninsula
Operation Raubtier,1942,Canceled German attack toward the Volkhov River near Leningrad, Russia
Operation Raubvogelkäfig,1940,German attack on the Maginot Line; part of Fall Grün
Operation Raureif,1943,Axis anti-partisan operation in Turbe in the Independent State of Croatia
Operation Regatta,1942,German anti-partisan operation in the Smolensk-Gorky area in Russia
Operation Regatta I,1943,German artillery bombardment of the Strait of Kerch between the Black Sea and the Sea of Azov
Operation Regenbogen,1942,The failed German attack on Arctic convoy JW-51B by Admiral Hipper and Lützow
Operation Regenbogen,1945,Rescinded German order to scuttle German ships at the end of the war
Operation Regenschauer,1944,German anti-partisan operation in Lepel and Polozk in Belorussia
Operation Regenschirm,1940,German aerial bombing of Birmingham, England, Britain
Operation Regenwurm,1945,German plan to move V-2 rockets to avoid Allied air strikes
Operation Reinhard,1943,German systematic murder of Polish intelligentia; phase I of the German 'Final Solution'
Operation Reinhard,1944,Axis occupation of ore mines in and around Ljubija in the Independent State of Croatia
Operation Renate,1941,German motorboat action off Dover, England, Britain
Operation Renate,1944,Axis anti-partisan operation on the Murter Peninsula in the Independent State of Croatia
Operation Renntier,1941,German occupation of Finnish Petsamo; part of Operation Silberfuchs
Operation Renntier,1944,German anti-partisan operation in Greece
Operation Rheinübung,1941,The planned German attacks on Allied shipping conducted by Bismarck and Prinz Eugen
Fall Richard,1937,German contingency planning for Soviet takeover of Spain
Operation Richard,1943,Axis anti-partisan operation near Razboj in the Independent State of Croatia
Operation Richard,1944,German defense plan in case of an Allied invasion of Italy; activated after Allies launched Operation Shingle
Operation Risnjak,1942,Italian anti-partisan operation in coastal region of Yugoslavia
Operation Ristow,1943,Axis anti-partisan operation between Bosanski Novi and Prijedor in the Independent State of Croatia
Operation RO,1943,Japanese defensive plan against Allied attacks on Rabaul, New Britain
Fall Rot,1935,German defense planning on the western border, in tandem with Fall Blau
Fall Rot,1937,Planned German invasion of Czechoslovakia
Fall Rot,1939,German bombing of Wielun, Poland; part of Fall Wei
Fall Rot,1940,German invasion of France
Operation Rouen,1944,Axis anti-partisan operation at the Kalnik Mountains south of the Ludbreg-Koprivnica Line in the Independent State of Croatia
Operation Rumpelkammer,1944,Start of the German V-1 rocket attack against London, England, Britain
Operation Rübezahl,1944,German anti-partisan operation in Montenegro, Yugoslavia
Operation Rügen,1937,German bombing of Guernica, Spain
Operation Röslein,1944,German anti-partisan operation in Macedonia, Yugoslavia
Operation Rösselsprung,1942,German naval operation to attack Arctic convoy PQ-17
Operation Rösselsprung,1944,German attempt to capture Josip Broz Tito
Operation S,1942,Axis anti-partisan operation in the Independent State of Croatia
Operation Safari,1943,German SS operation to disband the Danish military
Operation Salaam,1941,German plan to make contact with Egyptian nationalists
Operation Sandmann,1942,Axis anti-partisan operation in the Independent State of Croatia
Operation Sarajevo,1944,Axis anti-partisan operation west of the Sesvete-Varazdin road in the Independent State of Croatia
Operation Schach,1944,Axis anti-partisan operation in the Kordun and Banija regions in the Independent State of Croatia
Operation Schamil,1942,Planned German operation to secure Caucasus oil fields in Southern Russia with paratroopers
Operation Scharnhorst,1940,German deceptive attack in the Saarbrücken region; part of Fall Grün
Operation Schlussjagd,1941,German attack at Tula, Russia during the offensive toward Moscow
Operation Schlüsselblume,1944,Axis anti-partisan operation in western Slavonia in the Independent State of Croatia
Operation Schnee,1942,German supply mission to Norway
Operation Schneegestöber,1944,German operation to find and capture Josip Broz Tito's headquarters in Yugoslavia
Operation Schneeman,1945,German offensive in the Netherlands in conjunction with Wacht am Rhein
Operation Schneeschmelze,1944,Axis anti-partisan operation in the Zaprešic-Krapinske Toplice-Klanjec area in the Independent State of Croatia
Operation Schneesturm,1943,German anti-partisan operation in Bosnia, Yugoslavia
Operation Schnepfe,1943,German anti-partisan operation north of Vitebsk, Belorussia in conjunction with Operation Wildente
Operation Schwarz,1943,Axis anti-partisan operation in Montenegro and Herzegovina, Yugoslavia
Operation Schwarz,1943,German plan in the event of an Italian surrender
Operation Seehund,1943,German submarine mining operation
Operation Seelöwe,1940,Planned German invasion of Britain; Anglicized as 'Sealion'
Operation Seemöwe,1940-1945,German agents infiltration into Britain and Ireland
Operation Seeräuber,1943,Failed German landing on the island of Brac off the coast of Croatia, Yugoslavia
Operation Sho I,1944,Japanese attack of the American fleet off Leyte, Philippine Islands; part of Operation Sho-Go
Operation Sho II,1944,Japanese defense plan for Formosa and the Ryukyu Islands, Japan; part of Operation Sho-Go
Operation Sho III,1944,Japanese defense plan for Honshu, Japan; part of Operation Sho-Go
Operation Sho IV,1944,Japanese defense plan for Hokkaido, Japan; part of Operation Sho-Go
Operation Sho-Go,1944,Japanese defense plan against American advances toward Japan
Operation Siegfried,1941,German attack on Hiiumaa, an island off Estonia; part of Operation Beowulf II
Operation Siegfried,1942,German attack toward Stalingrad and the general Caucasus region in Southern Russia; part of Fall Blau
Operation Siegfried,1943,German plan to deploy Italian units to Southern France after Italian surrender
Operation Silberfuchs,1941,German attack on Murmansk, Russia; Anglicized as 'Silver Fox'
Operation Silberstreife,1942,Planned German operations against Allied convoys to Murmansk, Russia
Operation Sirio,1942,Italian convoy missions to Tripoli, Libya
Operation Sizilien,1943,German raid upon Allied occupied Spitzbergen Island, Svalbard Islands, Norway
Operation Skorpion,1941,Axis attack on the Halfaya Pass on the border of Libya and Egypt
Operation Skorpion,1942,German attack on Halfaya Pass, on the border of Libya and Egypt
Operation Sommernachtstraum,1941,Axis attack on British supply depots at Bir Khirreigat, Egypt
Operation Sonderaktion Krakau,1939,German operation to murder members of the intelligentsia at univerisites in Kraków, Poland
Operation Sonnenaufgang,1944,German attack on Allied units at Anzio, Italy
Operation Sonnenblume,1940,German response to British Operation Compass offensive in North Africa; deployment of the German Afrika Korps in North Africa
Operation Sonnenwende,1945,German attack of Russian troops in Choszczno, Pomerania, Germany
Operation Spark,1940,Planned German assassination against Adolf Hitler and coup d'état against the Nazi German government
Operation Sportpalast,1942,Fail German naval operation to attack Arctic convoys PQ-12 and QP-8
Operation Sportpalast,1942,German deployment of warships Prinz Eugen and Admiral Scheer to Norway
Operation Spätlese,1942,German anti-partisan operation north of Smolensk, Russia
Operation Stadthagen,1940,German attack on Stavanger, Norway; part of Operation Weserübung
Operation Stahl,1940,German commando operation to occupy a bridge near Veldwezelt, Belgium
Operation Steinadler,1944,German anti-partisan operation in Eastern Greece
Operation Steinbock,1944,German bombing of London and Southern England, Britain
Operation Steinschlag,1944,Axis anti-partisan operation near Otocac and Vrhovine in the Independent State of Croatia
Operation Stella Polaris,1944,Transfer of Finnish intelligence records, equipment, and personnel to Sweden at the end of the Continuation War to avoid Soviet capture
Operation Stimmung,1941,German diversionary plan in support of Operation Beowulf II; part of Operation Nordwind
Operation Storch,1944,German flooding of parts of the Netherlands to hinder Allied advance; previously named Operation Heide
Operation Strafe,1941,German bombing of Belgrade, Yugoslavia; part of Operation 25
Operation Strafe,1941,Planned German invasion of Bulgaria
Operation Student,1944,German plan to restore Benito Mussolini's power in Italy
Operation Sturmflut,1941,German attack on Kasserine Pass, Tunisia
Operation Störfang,1942,German attack on Sevastopol, Ukraine
Operation Stösser,1944,German airborne drop behind Allied lines; part of Wacht am Rhein
Operation Sumpf,1942,German operation near Demyansk, south of Leningrad, Russia
Operation Sumpffieber,1942,German anti-partisan operation in Loknja, Ukraine
Operation Süd,1944,German deceptive operation at Nettuno, Italy
Operation Süd-Kroatien I,1942,Axis anti-partisan operation in the Independent State of Croatia
Operation Süd-Kroatien II,1942,Axis anti-partisan operation in the Independent State of Croatia
Operation Südwind,1941,German defense plan against a general uprising in occupied France
Operation Südwind,1941,German diversionary attack on the island of Saaremaa, Estonia in support of Operation Beowulf II
Operation Südwind,1945,German counter-offensive from Esztergom, Hungary
Operation T,1942,Japanese invasion of northern Sumatra
Operation Ta,1943,Japanese attack on Bougainville in the Solomon Islands
Operation Ta,1944,Japanese attack on American forces at Cape Torokina, Bougainville, Solomon Islands
Operation TA,1944,Japanese attacks in the Philippine Islands
Operation Taifun,1941,German offensive toward Moscow, Russia; part of Operation Barbarossa
Operation Take-Ichi,1944,Japanese convoys to the Doberai Peninsula in Western New Guinea
Operation Tan 2,1945,Japanese special attack mission against the Allied anchorage at Ulithi, Caroline Islands
Operation Tanne Ost,1944,Failed German attempt to capture Suursaari Island, Finland in the Gulf of Finland
Operation Tanne West,1944,Planned German invasion of the Åland Islands in the Baltic Sea from Finland
Operation Tannenbaum,1940,Planned German invasion of Switzerland
Operation Tannenbaum,1943,Axis anti-partisan operation in the area between Bosanski Novi and Buzim in the Independent State of Croatia
Operation Tannenberg,1939,German plan to exterminate Polish intelligentsia
Operation Tasumaki,1944,Planned Japanese attack on Bougainville, Solomon Islands
Operation Taube,1940,German mission to transport Irish Republican Army Chief of Staff Seán Russell from Germany to Ireland
Operation Taube,1941,German plan to support the Irish Republican Army in Ireland and Northern Ireland
Operation Taubenschlag,1942,Canceled German attack on Toropets, Russia
Operation Ten'ichi-Go,1945,Japanese naval attack against the American fleet off Okinawa, Japan; alternate name of Operation Ten-Go
Operation Ten-Go,1945,Japanese naval attack against the American fleet off Okinawa, Japan; alternate name of Operation Ten'ichi-Go
Operation Teslic I,1943,Axis anti-partisan operation in the Independent State of Croatia
Operation Theodor,1943,German convoy off Temryuk, Southern Russia in the Sea of Azov
Operation Theodora,1940,German intelligence gathering operation in North Africa
Operation Theseus,1942,Axis attack on the Allied forces in Cyrenaica, Libya and Egypt
Operation Tichwin,1941,German attack on Leningrad, Russia
Operation Tiger,1940,German attack on the northern portion of the Maginot Line; part of Fall Rot
Operation Tiger,1943,German anti-partisan operation in Greece
Operation Tintenfisch,1942,German seizure of Swiss exports
Operation To-Go,1944,Phase one of Japanese attack in Eastern China; part of Operation Ichi-Go
Operation Toni,1943,German convoy off Temryuk, Southern Russia in the Sea of Azov
Operation Trappenjagd,1942,German offensive in the Kerch Peninsula, Ukraine
Operation Trave,1943,German escort operations for blockade runners
Operation Travnik,1942,Axis anti-partisan operation in the Independent State of Croatia
Operation Treibjagd,1944,German anti-partisan operation in Yugoslavia
Operation Treuebruch,1944,German occupation of the Bulgarian-held Skopje region of Macedonia, Yugoslavia
Operation Trio,1942,Axis anti-partisan operation in Bosnia and Croatia, Yugoslavia
Operation Trojanisches Pferd,1940,German operation to secure the bridge near Nijmegen in the Netherlands
Operation Trojanisches Pferd,1944,German occupation of Budapest, Hungary; part of Operation Margarethe I
Operation Trolist,1944,Axis anti-partisan operation in the Zaistovec-Preseka region in the Independent State of Croatia
Operation Trondheim,1940,German movement across the Albert Canal against Fort Eben-Emael in Belgium
Operation Tuzla II,1942,Axis anti-partisan operation in the Independent State of Croatia
Operation U,1942,Japanese invasion of Burma
Operation U-Go,1944,Japanese assault on Imphal and Kohima, India
Operation Uljan,1944,German anti-partisan operation on the island of Ugljan off the coast of the Independent State of Croatia
Operation Ulm,1943,Planned German aerial bombing operation against Russian industries in the Ural Mountains
Operation Ulrich,1943,Axis anti-partisan operation in the Kozara Mountains in the Independent State of Croatia
Operation Una-Sava Bend,1943,Axis anti-partisan operation in the Independent State of Croatia
Operation Ungewitter,1944,Axis anti-partisan operation in the Papuk Mountains in the Independent State of Croatia
Operation Ursula,1936-1939,German submarine operation in support of Francisco Franco's naval forces during the Spanish Civil War
Operation Ursula,1943,German anti-partisan operation in Rogachev, Belorussia
Operation Varazdin,1943,Axis anti-partisan operation in the Kalnik Mountains between Varazdin and Krizevci in the Independent State of Croatia
Operation Venezia,1941,German advance toward the British Gazala Line near Bir Hakeim, Libya
Operation Venezie,1942,German advance against the British Gazala Line toward Tobruk, Libya
Operation Verrat,1944,German attack on forces of Dragoljub Mihailovic in Yugoslavia
Operation Verrat,1944,German attack on forces of Napoleon Zervas in Greece
Operation Vierecke,1942,German anti-partisan operation in Bryansk, Russia
Operation Virovitica,1943,Axis anti-partisan operation in the Independent State of Croatia
Operation Višegrad,1941,Axis anti-partisan operation in the Independent State of Croatia
Operation Vogelsang,1942,German anti-partisan operation in the Roslawl and Bryansk region of Russia
Wacht am Rhein,1944,German offensive in the Ardennes; Anglicized as 'Watch on the Rhine'
Operation Wal,1940,Aborted German plan to coordinate actions with Scottish and Welsh nationalist groups
Operation Waldrausch,1944,German anti-partisan operation in the Balkans
Operation Waldteufel,1945,German anti-partisan operation in Budapest, Hungary
Operation Waldwinter,1943,German anti-partisan operation north of Vitebsk, Belorussia
Operation Walfisch,1940,Aborted German plan to land an agent in Ireland
Operation Walküre,1944,German attempt to overthrow Adolf Hitler, written under the cover of a plan to foil potential worker rebellions; Anglicized as 'Valkyre'
Operation Walzertraum,1944,German landing on the island of Hvar off the coast of Croatia, Yugoslavia; part of Operation Herbstgewitter III and Operation Herbstgewitter IV
Operation Wasserkante,1939,German aerial bombing of Warsaw, Poland
Operation Weber,1941,German naval operation off the coast of Southern England, Britain
Operation Wei,1942,German anti-partisan operations in Croatia, Yugoslavia
Operation Weihnachtsmann,1943,German anti-partisan operation in the Balkans
Fall Weiß,1939,German invasion of Poland
Operation Weiß I,1943,German anti-partisan operation in Sarajevo, Bosnia, Yugoslavia
Operation Weiß II,1943,German anti-partisan operation in Sarajevo, Bosnia, Yugoslavia; continuation of Operation Weiß I
Operation Werewolf,1945,German anti-partisan operation in Croatia, Yugoslavia
Operation Werewolf,1945,German fighter deployment against Allied bombing
Operation Weserübung,1940,German invasion of Denmark and Norway
Operation Weserübung Nord,1940,German attack on Trondheim and Narvik, Norway; part of Operation Weserübung
Operation Weserübung Sud,1940,German attack on Bergen, Kristiansand, and Oslo, Norway; part of Operation Weserübung
Operation Wespennest I,1940,German destruction of rail links between Switzerland and France
Operation Wespennest II,1940,German destruction of rail links between Switzerland and France
Operation West,1941,German attack on Hiiumaa, an island off Estonia; part of Operation Siegfried
Operation West-Bosnien,1942,Axis anti-partisan operation in the Independent State of Croatia
Operation Weststurm,1941,German naval operation in support of Operation Beowulf II
Operation Weststurm,1944,German naval bombardment of Sworbe, Estonia
Operation Westwind,1941,German diversionary plan in support of Operation Beowulf II
Operation Wiesengrund,1942,German occupation of the Fisherman's Peninsula in northern Scandinavia
Operation Wiking,1943,German operations in the Caucasus region of Southern Russia
Operation Wikinger,1940,Sortie by German destroyers into the North Sea
Operation Wikinger,1944,German offensive in the islands off the Dalmatian coast of Yugoslavia
Operation Wildente,1940,German naval and air operation in Trondheim, Norway
Operation Wildente,1943,German anti-partisan operation north of Vitebsk, Belorussia in conjunction with Operation Schnepfe
Operation Wildsau,1943,German anti-partisan operation in Russia
Operation Wildsau,1943,German anti-partisan operation in Tuzla, Bosnia, Yugoslavia
Operation Wildsau,1944,Axis anti-partisan operation west of the railroad connecting Ðurmanec and Krapinske Toplice in the Independent State of Croatia
Operation Wilhelm,1942,German operation against Volchansk, Russia
Operation Windstoss,1943,Axis anti-partisan operation in the Independent State of Croatia
Operation Winkelreid,1942,German operation within the Demyansk Pocket near Leningrad, Russia
Operation Winterende,1944,German anti-partisan operation in Slovenia, Yugoslavia; part of Operation Frühlingsanfang
Operation Wintergewitter,1944,Axis attack on the Americans in the Appennine Mountains, Italy
Operation Wintermärchen,1942,German attack between the Volga and Don Rivers
Operation Wintermärchen,1944,German attack on American troops in Italy
Operation Winterzauber,1943,German anti-partisan operation in Lithuania
Operation Wolke,1942,German transfer to troops to Norway
Operation Wolkenbruch,1943,Failed German anti-partisan operation in Northern Yugoslavia
Operation Wulf,1943,German anti-partisan operation in Kordun in Bosnia, Banovina and Turopolje in Croatia, Yugoslavia
Operation Wulf,1944,German anti-partisan operation in Thessaloniki, Greece
Operation Wunderland,1942,German anti-shipping operation in Kara Sea and Barents Sea by warship Admiral Scheer
Operation Wunderland II,1943,Planned German naval operation involving warship Admiral Scheer in the Siberian Sea
Operation Yarmouth,1943,German artillery bombardment of Yeysk, Russia
Operation Z,1941,Japanese attack on Pearl Harbor, Hawaii, United States
Operation Zagorje,1943,Axis anti-partisan operation in the Kalnik Mountains in the Novi Marof area in the Independent State of Croatia
Operation Zahnarzt,1945,German operation in the area of Molsheim, France and Zabern, Germany
Operation Zarin,1942,German mining action off Novaya Zemlya archipelago in the Arctic Ocean by Admiral Hipper and destroyers
Operation Zauberflöte,1942,German operation to maneuver damaged Prinz Eugen from Trondheim, Norway to Kiel, Germany
Operation Zenica-Zavidovici,1942,Axis anti-partisan operation in the Independent State of Croatia
Operation Zeppelin,1944,Failed German operation to destroy powerplants in Moscow, Russia
Operation Zerberus,1942,Break-out of German capital ships from Brest, France to Norway; Anglicized as 'Cerberus' and nicknamed by the British as 'Channel Dash'
Operation Ziethen,1943,German anti-partisan operation in Livno, Bosnia, Yugoslavia
Operation Ziethen,1943,Planned German evacuation from the Demyansk Pocket near Leningrad, Russia
Operation Zigeunerbaron,1943,German anti-partisan operation in Bryansk, Russia
Operation Zitadelle,1943,German offensive at Kursk, Russia
Operation Zitronella,1943,German raid against a Norwegian/British station at the Svalbard Islands
Operation Zumberak IV,1944,Axis anti-partisan operation in the Plesivica Mountains in the Independent State of Croatia
Operation Zwischenspiel,1943,German attack on the Greek island of Samos; part of Operation Leopard
